id_a,id_b,cosine_similarity,title_norm_a,title_a,title_norm_b,title_b
4920,4921,0.8719528769790921,three men in a boat,Three Men in a Boat,three men in a boat three men 1,"Three Men in a Boat (Three Men, #1)"
4954,28645,1.0,you shall know our velocity,You Shall Know Our Velocity!,you shall know our velocity,You Shall Know Our Velocity
4955,4956,0.858268806090072,how we are hungry,How We Are Hungry,how we are hungry stories,How We Are Hungry: Stories
4965,4970,0.8687402661405825,year of wonders,Year of Wonders,a year of wonder,A Year of Wonder
4978,94761,1.0,wolves of the calla the dark tower 5,"Wolves of the Calla (The Dark Tower, #5)",wolves of the calla the dark tower 5,"Wolves of the Calla (The Dark Tower, #5)"
5091,22549,0.9999999999999999,the dark tower the dark tower 7,"The Dark Tower (The Dark Tower, #7)",the dark tower the dark tower 7,The Dark Tower (The Dark Tower #7)
5094,18004,1.0,the drawing of the three the dark tower 2,"The Drawing of the Three (The Dark Tower, #2)",the drawing of the three the dark tower 2,The Drawing of the Three (The Dark Tower #2)
5102,17123,0.9212438549427255,the handmaid s tale,The Handmaid's Tale,handmaid s tale,Handmaid's Tale
5113,77531,1.0,franny and zooey,Franny and Zooey,franny and zooey,Franny and Zooey
5114,12001,0.9538859890559206,raise high the roof beam carpenters seymour an introduction,"Raise High the Roof Beam, Carpenters & Seymour: An Introduction",raise high the roof beam carpenters and seymour an introduction,"Raise High the Roof Beam, Carpenters and Seymour: an Introduction"
5114,77530,0.9538859890559206,raise high the roof beam carpenters seymour an introduction,"Raise High the Roof Beam, Carpenters & Seymour: An Introduction",raise high the roof beam carpenters and seymour an introduction,"Raise High the Roof Beam, Carpenters and Seymour: An Introduction"
5129,5479,0.8559850491986712,brave new world,Brave New World,brave new world brave new world revisited,Brave New World / Brave New World Revisited
5134,53677,0.8533549688445864,moksha writings on psychedelics the visionary experience,Moksha: Writings on Psychedelics & the Visionary Experience,moksha writings on psychedelics and the visionary experience 1931 1963,Moksha: Writings on Psychedelics and the Visionary Experience (1931-1963)
5139,5140,0.9367943690416844,the devil wears prada the devil wears prada 1,"The Devil Wears Prada (The Devil Wears Prada, #1)",the devil wears prada,The Devil Wears Prada
5191,96088,1.0,the pilot s wife,The Pilot's Wife,the pilot s wife,The Pilot's Wife
5198,77815,1.0,paradise,Paradise,paradise,Paradise
5203,33632,0.9435764262191144,she s come undone,She's Come Undone,he s come undone,He's Come Undone
5215,7600,1.0,one hundred years of solitude,One Hundred Years of Solitude,one hundred years of solitude,One Hundred Years Of Solitude
5216,26945,0.9191802950117962,song of solomon,Song of Solomon,the song of solomon,The Song of Solomon
5220,77266,1.0,the poisonwood bible,The Poisonwood Bible,the poisonwood bible,The Poisonwood Bible
5294,79128,1.0,oscar wilde,Oscar Wilde,oscar wilde,Oscar Wilde
5294,92312,1.0,oscar wilde,Oscar Wilde,oscar wilde,Oscar Wilde
5296,79120,1.0,an ideal husband,An Ideal Husband,an ideal husband,An Ideal Husband
5297,83998,0.9999999999999999,the picture of dorian gray,The Picture of Dorian Gray,the picture of dorian gray,The Picture of Dorian Gray
5309,5310,0.8853617501178355,the life and times of scrooge mcduck,The Life and Times of Scrooge McDuck,the life and times of scrooge mcduck companion,The Life and Times of Scrooge McDuck Companion
5316,5317,1.0,uncle scrooge 359,Uncle Scrooge #359,uncle scrooge 358,Uncle Scrooge #358
5319,5322,0.898905973305887,a christmas story,A Christmas Story,the christmas story,The Christmas Story
5338,31247,0.8817782424810838,a christmas carol and other christmas writings,A Christmas Carol and Other Christmas Writings,a christmas carol and other christmas books,A Christmas Carol and Other Christmas Books
5347,87950,1.0,bleachers,Bleachers,bleachers,Bleachers
5351,87964,1.0,the street lawyer,The Street Lawyer,the street lawyer,The Street Lawyer
5352,78169,1.0,the summons,The Summons,the summons,The Summons
5354,87963,1.0,the brethren,The Brethren,the brethren,The Brethren
5354,78171,1.0,the brethren,The Brethren,the brethren,The Brethren
5357,87957,1.0,skipping christmas,Skipping Christmas,skipping christmas,Skipping Christmas
5359,85181,1.0,the client,The Client,the client,The Client
5359,87961,1.0,the client,The Client,the client,The Client
5391,5396,0.8831497783034306,the dragon s eye,The Dragon's Eye,dragon s eye,Dragon's Eye
5479,5480,0.9579806496446218,brave new world brave new world revisited,Brave New World / Brave New World Revisited,brave new world and brave new world revisited,Brave New World and Brave New World Revisited
5479,5481,0.9171693311117135,brave new world brave new world revisited,Brave New World / Brave New World Revisited,brave new world revisited,Brave New World Revisited
5480,5481,0.9066875787898715,brave new world and brave new world revisited,Brave New World and Brave New World Revisited,brave new world revisited,Brave New World Revisited
5488,60459,0.9200404910959991,the cairo trilogy palace walk palace of desire sugar street the cairo trilogy 1 3,The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),the cairo trilogy palace walk palace of desire sugar street,"The Cairo Trilogy: Palace Walk, Palace of Desire, Sugar Street"
5560,45800,0.8619073363247587,jack straight from the gut,Jack: Straight from the Gut,straight from the gut,Straight from the Gut
5659,49953,0.86146897157531,the wind in the willows,The Wind in the Willows,the wind in the willows the open road the wind in the willows 2,"The Wind in the Willows: The Open Road (The Wind in the Willows, #2)"
5692,7140,0.8511095085943375,crime and punishment,Crime and Punishment,crime and punishment in america,Crime and Punishment in America
5712,5713,1.0,if i die in a combat zone,If I Die in a Combat Zone,if i die in a combat zone,If I Die In A Combat Zone
5721,5722,0.9693447161792292,tom clancy s rainbow six lockdown prima official game guide prima official game guides,Tom Clancy's Rainbow Six: Lockdown: Prima Official Game Guide (Prima Official Game Guides),tom clancy s rainbow six lockdown pc prima official game guide prima official game guides,Tom Clancy's Rainbow Six Lockdown (PC): Prima Official Game Guide (Prima Official Game Guides)
5770,5771,0.9109801602217765,the design and implementation of the 4 3bsd unix operating system,The Design and Implementation of the 4.3BSD UNIX Operating System,the design and implementation of the 4 3bsd unix operating system answer book,The Design and Implementation of the 4.3BSD UNIX Operating System Answer Book
5830,49039,1.0,bel canto a history of vocal pedagogy,Bel Canto: A History of Vocal Pedagogy,bel canto a history of vocal pedagogy,Bel Canto: a History of Vocal Pedagogy
5863,57046,1.0,v s naipaul,V.S. Naipaul,v s naipaul,V. S. Naipaul
5890,45213,1.0,the woman in white,The Woman in White,the woman in white,The Woman In White
5907,5912,1.0,the hobbit or there and back again,"The Hobbit, or There and Back Again",the hobbit or there and back again,The Hobbit: Or There and Back Again
5907,23653,1.0,the hobbit or there and back again,"The Hobbit, or There and Back Again",the hobbit or there and back again,"The Hobbit, or, There and Back Again"
5912,23653,1.0,the hobbit or there and back again,The Hobbit: Or There and Back Again,the hobbit or there and back again,"The Hobbit, or, There and Back Again"
5937,81022,1.0,love,Love,love,Love
5988,11705,0.8969388565834023,the selected poems,The Selected Poems,selected poems,Selected Poems
5988,90820,0.8969388565834023,the selected poems,The Selected Poems,selected poems,Selected Poems
5988,26598,0.8608692042495556,the selected poems,The Selected Poems,love selected poems,Love: Selected Poems
6063,6064,0.9787608423949788,tuscany wandering the back roadsv 1,"Tuscany, Wandering the Back Roadsv. 1",tuscany wandering the back roadsv 2,"Tuscany, Wandering the Back Roadsv. 2"
6138,6145,0.9502734330543917,the moonstone,The Moonstone,the moonstones,The Moonstones
6138,45214,0.8754258883297585,the moonstone,The Moonstone,moonstone,Moonstone
6183,87798,1.0,wuthering heights,Wuthering Heights,wuthering heights,Wuthering Heights
6259,6264,0.9298468954960422,birdsong,Birdsong,birdsongs,Birdsongs
6294,68011,0.917596246384254,howl s moving castle howl s moving castle 1,"Howl's Moving Castle (Howl's Moving Castle, #1)",howl s moving castle howl s moving castle film comic 2,Howl's Moving Castle (Howl's Moving Castle Film Comic #2)
6299,68011,0.9072019978964582,howl s moving castle vol 4 howl s moving castle film comics 4,"Howl's Moving Castle, Vol. 4 (Howl's Moving Castle Film Comics, #4)",howl s moving castle howl s moving castle film comic 2,Howl's Moving Castle (Howl's Moving Castle Film Comic #2)
6299,34430,0.8857284822243672,howl s moving castle vol 4 howl s moving castle film comics 4,"Howl's Moving Castle, Vol. 4 (Howl's Moving Castle Film Comics, #4)",howl s moving castle film comic,Howl's Moving Castle Film Comic
6299,34427,0.864746242205597,howl s moving castle vol 4 howl s moving castle film comics 4,"Howl's Moving Castle, Vol. 4 (Howl's Moving Castle Film Comics, #4)",howl s moving castle picture book howl s moving castle film comics 1,"Howl's Moving Castle Picture Book (Howl's Moving Castle Film Comics, #1)"
6320,99474,1.0,the bfg,The BFG,the bfg,The BFG
6412,6416,0.9266058066677891,spiritual connections how to find spirituality throughout all the relationships in your life,Spiritual Connections: How to Find Spirituality Throughout All the Relationships in Your Life,spiritual connections 2 cd how to find spirituality throughout all the relationships in your life,Spiritual Connections 2-CD: How to Find Spirituality Throughout All the Relationships in Your Life
6421,40316,0.8680077588435329,the stephanie plum novels 2 stephanie plum 6 8,"The Stephanie Plum Novels #2 (Stephanie Plum, #6-8)",the stephanie plum novels stephanie plum 3 5,"The Stephanie Plum Novels (Stephanie Plum, #3-5)"
6426,40345,0.9999999999999998,motor mouth alex barnaby 2,Motor Mouth (Alex Barnaby #2),motor mouth alex barnaby 2,"Motor Mouth (Alex Barnaby, #2)"
6440,93114,1.0,ivanhoe,Ivanhoe,ivanhoe,Ivanhoe
6463,89305,1.0,writings,Writings,writings,Writings
6492,6493,0.8986943558387218,8 minutes in the morning for extra easy weight loss,8 Minutes in the Morning for Extra-Easy Weight Loss,8 minutes in the morning kit for extra easy weight loss,8 Minutes in the Morning Kit for Extra Easy Weight Loss
6523,34210,0.913015242971092,long way to die,Long Way to Die,the long way to die,The Long Way to Die
6551,40174,0.8611852982937688,herzog,Herzog,herzog on herzog,Herzog on Herzog
6563,13162,0.9113142827327371,when the wind blows,When the Wind Blows,when the wind blows when the wind blows 1,"When the Wind Blows (When the Wind Blows, #1)"
6595,21430,0.9098171809161285,big bad wolf,Big Bad Wolf,the big bad wolf,The Big Bad Wolf
6678,74556,0.8516829430789277,going solo roald dahl s autobiography 2,"Going Solo (Roald Dahl's Autobiography, #2)",boy and going solo roald dahl s autobiography 1 2,"Boy and Going Solo (Roald Dahl's Autobiography, #1-#2)"
6689,99118,1.0,james and the giant peach,James and the Giant Peach,james and the giant peach,James and the Giant Peach
6690,24949,1.0,danny the champion of the world,Danny the Champion of the World,danny the champion of the world,Danny The Champion of the World
6723,62326,0.9387498606619297,wild things,Wild Things,wild thing,Wild Thing
6438,6748,0.9999999999999999,a supposedly fun thing i ll never do again essays and arguments,A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,a supposedly fun thing i ll never do again essays and arguments,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments
6794,6795,0.8954227253380737,cloud atlas,Cloud Atlas,the cloud atlas,The Cloud Atlas
6834,74595,0.86956665915532,william shakespeare s a midsummer night s dream,William Shakespeare's A Midsummer Night's Dream,william shakespeare s a midsummer night s dream shakespeare retellings 2,"William Shakespeare's: A Midsummer Night's Dream (Shakespeare Retellings, #2)"
6834,7007,0.8552475938198176,william shakespeare s a midsummer night s dream,William Shakespeare's A Midsummer Night's Dream,william shakespeare s a midsummer night s dream cliffs complete,William Shakespeare's A Midsummer Night's Dream (Cliffs Complete)
6932,56684,0.9999999999999999,what color is your parachute a practical manual for job hunters and career changers,What Color Is Your Parachute? A Practical Manual for Job-Hunters and Career-Changers,what color is your parachute a practical manual for job hunters and career changers,What Color Is Your Parachute?: A Practical Manual for Job-Hunters and Career-Changers
6932,21103,0.9281286409207288,what color is your parachute a practical manual for job hunters and career changers,What Color Is Your Parachute? A Practical Manual for Job-Hunters and Career-Changers,what color is your parachute a practical manual for job hunters career changers 1995,What Color Is Your Parachute?: A Practical Manual for Job-Hunters & Career-Changers 1995
6932,56685,0.9277048881419017,what color is your parachute a practical manual for job hunters and career changers,What Color Is Your Parachute? A Practical Manual for Job-Hunters and Career-Changers,what color is your parachute a practical manual for job hunters career changers 1990,"What Color Is Your Parachute?: A Practical Manual for Job-Hunters & Career Changers, 1990"
6932,56682,0.9159754175745838,what color is your parachute a practical manual for job hunters and career changers,What Color Is Your Parachute? A Practical Manual for Job-Hunters and Career-Changers,what color is your parachute 2004 a practical manual for job hunters and career changers,What Color Is Your Parachute? 2004: A Practical Manual for Job-Hunters and Career-Changers
7033,7053,1.0,in the company of cheerful ladies no 1 ladies detective agency 6,"In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency, #6)",in the company of cheerful ladies no 1 ladies detective agency 6,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency #6)
7035,7059,1.0,morality for beautiful girls no 1 ladies detective agency 3,Morality for Beautiful Girls (No. 1 Ladies' Detective Agency #3),morality for beautiful girls no 1 ladies detective agency 3,"Morality for Beautiful Girls (No. 1 Ladies' Detective Agency, #3)"
7036,97881,1.0,the kalahari typing school for men no 1 ladies detective agency 4,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency #4),the kalahari typing school for men no 1 ladies detective agency 4,"The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency, #4)"
7038,7039,1.0,tears of the giraffe no 1 ladies detective agency 2,"Tears of the Giraffe (No. 1 Ladies' Detective Agency, #2)",tears of the giraffe no 1 ladies detective agency 2,Tears of the Giraffe (No. 1 Ladies' Detective Agency #2)
7052,28184,1.0,blue shoes and happiness no 1 ladies detective agency 7,"Blue Shoes and Happiness (No. 1 Ladies' Detective Agency, #7)",blue shoes and happiness no 1 ladies detective agency 7,Blue Shoes and Happiness (No. 1 Ladies' Detective Agency #7)
7061,97880,1.0,the no 1 ladies detective agency no 1 ladies detective agency 1,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),the no 1 ladies detective agency no 1 ladies detective agency 1,"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)"
7125,7129,0.9472453491355536,the count of monte cristo,The Count of Monte Cristo,count of monte cristo,Count of Monte Cristo
7139,7140,0.9019631252264179,crime and punishment in american history,Crime and Punishment in American History,crime and punishment in america,Crime and Punishment in America
7216,99416,0.9379785768025339,feel like going home portraits in blues rock n roll,Feel Like Going Home: Portraits in Blues & Rock 'n' Roll,feel like going home portraits in blues and rock n roll,Feel Like Going Home: Portraits in Blues and Rock 'n' Roll
7329,77674,1.0,unfinished tales of numenor and middle earth,Unfinished Tales of Númenor and Middle-Earth,unfinished tales of numenor and middle earth,Unfinished Tales of Númenor and Middle-earth
7332,77673,0.9999999999999998,the silmarillion,The Silmarillion,the silmarillion,The Silmarillion
7332,63413,0.9399982844572,the silmarillion,The Silmarillion,le silmarillion,Le Silmarillion
7336,76835,0.9999999999999997,j r r tolkien a biography,J.R.R. Tolkien: A Biography,j r r tolkien a biography,J.R.R. Tolkien: A Biography
7337,77686,1.0,the tolkien reader,The Tolkien Reader,the tolkien reader,The Tolkien Reader
7341,23661,0.9999999999999998,the gospel according to tolkien visions of the kingdom in middle earth,The Gospel According to Tolkien: Visions of the Kingdom in Middle-Earth,the gospel according to tolkien visions of the kingdom in middle earth,The Gospel According to Tolkien: Visions of the Kingdom in Middle Earth
7342,77682,0.9999999999999999,the treason of isengard the history of the lord of the rings part two the history of middle earth 7,"The Treason of Isengard: The History of The Lord of the Rings, Part Two (The History of Middle-earth, #7)",the treason of isengard the history of the lord of the rings part two the history of middle earth 7,"The Treason of Isengard: The History of The Lord of the Rings, Part Two (The History of Middle-Earth, #7)"
7346,28854,1.0,the book of lost tales part two the history of middle earth 2,"The Book of Lost Tales, Part Two (The History of Middle-Earth, #2)",the book of lost tales part two the history of middle earth 2,"The Book of Lost Tales, Part Two (The History of Middle-earth, #2)"
7360,7363,0.9678717510855538,midnight in the garden of good and evil,Midnight in the Garden of Good and Evil,midnight in the garden of good and evie,Midnight in the Garden of Good and Evie
7494,7498,0.9999999999999994,suzanne s diary for nicholas,Suzanne's Diary for Nicholas,suzanne s diary for nicholas,Suzanne's Diary For Nicholas
7510,7512,0.9258444507389813,the beach house,The Beach House,the beach house beach house 1,The Beach House (Beach House #1)
7551,7552,0.9373571383330683,the acme novelty library 17,The Acme Novelty Library #17,the acme novelty library,The Acme Novelty Library
7585,95807,1.0,spring s awakening,Spring's Awakening,spring s awakening,Spring's Awakening
7588,7590,0.9999999999999996,a portrait of the artist as a young man,A Portrait of the Artist as a Young Man,a portrait of the artist as a young man,A Portrait of the Artist As a Young Man
7588,7593,0.9169606366037024,a portrait of the artist as a young man,A Portrait of the Artist as a Young Man,a portrait of the artist as a young man notes,"A Portrait of the Artist as a Young Man, Notes"
7590,7593,0.9169606366037024,a portrait of the artist as a young man,A Portrait of the Artist As a Young Man,a portrait of the artist as a young man notes,"A Portrait of the Artist as a Young Man, Notes"
7598,28087,0.8983668934850912,a study guide to gabriel garcia marquez one hundred years of solitude,A Study Guide to Gabriel Garcia Marquez' One Hundred Years of Solitude,gabriel garcia marquez one hundred years of solitude,Gabriel García Márquez: One Hundred Years of Solitude
7608,88418,1.0,lolita,Lolita,lolita,Lolita
7672,96667,1.0,congo,Congo,congo,Congo
7677,22081,0.8902519503394741,jurassic park jurassic park 1,"Jurassic Park (Jurassic Park, #1)",jurassic park,Jurassic Park
7723,32574,1.0,the metamorphosis and other stories,The Metamorphosis and Other Stories,the metamorphosis and other stories,The Metamorphosis And Other Stories
7733,88811,1.0,gulliver s travels,Gulliver's Travels,gulliver s travels,Gulliver's Travels
7754,88329,0.8531091912398006,waiting for godot,Waiting for Godot,waiting for god,Waiting for God
7791,57654,0.9451755831468385,dr seuss goes to war the world war ii editorial cartoons of theodor seuss geisel,Dr. Seuss Goes to War: The World War II Editorial Cartoons of Theodor Seuss Geisel,dr seuss goes to war the world war ii editorial carttons of theodor seuss geisel,Dr. Seuss Goes to War: The World War II Editorial Carttons of Theodor Seuss Geisel
7840,7843,0.8810051892330897,another day in paradise,Another Day in Paradise,just another day in paradise,Just Another Day in Paradise
7848,7849,1.0,moby dick or the whale,"Moby-Dick; or, The Whale",moby dick or the whale,"Moby Dick, or The Whale"
7859,52854,1.0,late victorian holocausts el nino famines and the making of the third world,Late Victorian Holocausts: El Niño Famines and the Making of the Third World,late victorian holocausts el nino famines and the making of the third world,Late Victorian Holocausts: El Nino Famines and the Making of the Third World
7882,77769,0.9999999999999999,on the banks of plum creek little house 4,"On the Banks of Plum Creek  (Little House, #4)",on the banks of plum creek little house 4,"On the Banks of Plum Creek (Little House, #4)"
7909,42485,0.871080955731994,betsy tacy betsy tacy 1,"Betsy-Tacy (Betsy-Tacy, #1)",betsy tacy and tib betsy tacy 2,"Betsy-Tacy and Tib (Betsy-Tacy, #2)"
7911,7912,0.9140752333877568,five little peppers and how they grew five little peppers 1,"Five Little Peppers and How They Grew (Five Little Peppers, #1)",five little peppers and how they grew,Five Little Peppers and How They Grew
7924,7926,0.8775802825486533,all of a kind family uptown all of a kind family 4,"All-of-a-Kind Family Uptown (All-of-a-Kind-Family, #4)",all of a kind family all of a kind family 1,"All-of-a-Kind Family (All-of-a-Kind-Family, #1)"
7926,7928,0.9450507424189999,all of a kind family all of a kind family 1,"All-of-a-Kind Family (All-of-a-Kind-Family, #1)",more all of a kind family all of a kind family 3,"More All-of-a-Kind Family (All-of-a-Kind-Family, #3)"
7956,76827,1.0,treason,Treason,treason,Treason
7959,97120,0.9517980585196226,rachel leah women of genesis 3,"Rachel & Leah (Women of Genesis, #3)",rachel leah women of genesis,Rachel & Leah: Women of Genesis
7960,31363,0.8876789281671082,how to write science fiction and fantasy,How to Write Science Fiction and Fantasy,how to write science fiction fantasy,How to Write Science Fiction & Fantasy
7967,9739,0.8963364541860686,speaker for the dead enders saga 2,"Speaker for the Dead (Ender’s Saga, #2)",speaker for the dead ender s saga 2,"Speaker for the Dead (Ender's Saga, #2)"
7973,64110,0.8788593992965068,enchantment,Enchantment,the enchantment,The Enchantment
7980,34370,0.9585247567426519,pearls of lutra redwall 9,"Pearls of Lutra (Redwall, #9)",the pearls of lutra redwall 9,"The Pearls of Lutra (Redwall, #9)"
8127,95697,0.955286354468819,anne of green gables anne of green gables 1,"Anne of Green Gables (Anne of Green Gables, #1)",anne of green gables,Anne of Green Gables
8127,8130,0.955286354468819,anne of green gables anne of green gables 1,"Anne of Green Gables (Anne of Green Gables, #1)",anne of green gables,Anne of Green Gables
8127,8133,0.9193325301087867,anne of green gables anne of green gables 1,"Anne of Green Gables (Anne of Green Gables, #1)",the annotated anne of green gables anne of green gables 1,"The Annotated Anne of Green Gables (Anne of Green Gables, #1)"
8127,8144,0.892222438261712,anne of green gables anne of green gables 1,"Anne of Green Gables (Anne of Green Gables, #1)",anne of green gables anne of avonlea anne of green gables 1 2,"Anne of Green Gables / Anne of Avonlea (Anne of Green Gables, #1-2)"
8130,8133,0.8638070202265897,anne of green gables,Anne of Green Gables,the annotated anne of green gables anne of green gables 1,"The Annotated Anne of Green Gables (Anne of Green Gables, #1)"
8130,8144,0.8507822361143286,anne of green gables,Anne of Green Gables,anne of green gables anne of avonlea anne of green gables 1 2,"Anne of Green Gables / Anne of Avonlea (Anne of Green Gables, #1-2)"
8133,95697,0.8638070202265897,the annotated anne of green gables anne of green gables 1,"The Annotated Anne of Green Gables (Anne of Green Gables, #1)",anne of green gables,Anne of Green Gables
8140,77390,1.0,anne of avonlea anne of green gables 2,Anne of Avonlea (Anne of Green Gables #2),anne of avonlea anne of green gables 2,"Anne of Avonlea (Anne of Green Gables, #2)"
8140,30691,1.0,anne of avonlea anne of green gables 2,Anne of Avonlea (Anne of Green Gables #2),anne of avonlea anne of green gables 2,"Anne of Avonlea (Anne of Green Gables, #2)"
8140,8144,0.9266008579612366,anne of avonlea anne of green gables 2,Anne of Avonlea (Anne of Green Gables #2),anne of green gables anne of avonlea anne of green gables 1 2,"Anne of Green Gables / Anne of Avonlea (Anne of Green Gables, #1-2)"
8144,30691,0.9266008579612366,anne of green gables anne of avonlea anne of green gables 1 2,"Anne of Green Gables / Anne of Avonlea (Anne of Green Gables, #1-2)",anne of avonlea anne of green gables 2,"Anne of Avonlea (Anne of Green Gables, #2)"
8144,77390,0.9266008579612366,anne of green gables anne of avonlea anne of green gables 1 2,"Anne of Green Gables / Anne of Avonlea (Anne of Green Gables, #1-2)",anne of avonlea anne of green gables 2,"Anne of Avonlea (Anne of Green Gables, #2)"
8147,79106,1.0,the gift,The Gift,the gift,The Gift
8176,8188,0.8855478129090439,the birthright,The Birthright,birthright,Birthright
8197,8199,0.8504600218224603,writings to young women from laura ingalls wilder on wisdom and virtues writings to young women on laura ingalls wilder 1,Writings to Young Women from Laura Ingalls Wilder: On Wisdom and Virtues (Writings to Young Women on Laura Ingalls Wilder #1),writings to young women from laura ingalls wilder on life as a pioneer woman writings to young women from laura ingalls wilder 2,Writings to Young Women from Laura Ingalls Wilder: On Life as a Pioneer Woman (Writings to Young Women from Laura Ingalls Wilder #2)
8222,8310,0.8579481223487145,laura ingalls wilder country,Laura Ingalls Wilder Country,laura ingalls wilder,Laura Ingalls Wilder
8228,77765,1.0,the first four years little house 9,"The First Four Years (Little House, #9)",the first four years little house 9,"The First Four Years (Little House, #9)"
8228,8296,1.0,the first four years little house 9,"The First Four Years (Little House, #9)",the first four years little house 9,"The First Four Years  (Little House, #9)"
8229,17581,0.8703696661259566,story of laura ingalls wilder pioneer girl,Story of Laura Ingalls Wilder: Pioneer Girl,pioneer girl the story of laura ingalls wilder,Pioneer Girl: The Story of Laura Ingalls Wilder
8252,77764,1.0,farmer boy little house 2,"Farmer Boy (Little House, #2)",farmer boy little house 2,"Farmer Boy (Little House, #2)"
8253,77768,1.0,little town on the prairie little house 7,"Little Town on the Prairie  (Little House, #7)",little town on the prairie little house 7,"Little Town on the Prairie (Little House, #7)"
8296,77765,1.0,the first four years little house 9,"The First Four Years  (Little House, #9)",the first four years little house 9,"The First Four Years (Little House, #9)"
8310,8334,0.8652620430629504,laura ingalls wilder,Laura Ingalls Wilder,meet laura ingalls wilder,Meet Laura Ingalls Wilder
8316,21993,0.9074124326895309,the world s fair,The World's Fair,world s fair,World's Fair
8327,22218,0.8503544126875167,worry the root of all evil,Worry: The Root of All Evil,the root of all evil,The Root of All Evil
8489,81416,1.0,muhammad a prophet for our time,Muhammad: A Prophet for Our Time,muhammad a prophet for our time,Muhammad: A Prophet for Our Time
8523,77063,1.0,forfeit,Forfeit,forfeit,Forfeit
8529,77069,1.0,reflex,Reflex,reflex,Reflex
8530,77070,1.0,risk,Risk,risk,Risk
8531,77068,1.0,proof,Proof,proof,Proof
8536,77056,1.0,bonecrack,Bonecrack,bonecrack,Bonecrack
8541,77071,1.0,straight,Straight,straight,Straight
8548,77061,1.0,driving force,Driving Force,driving force,Driving Force
8555,8582,0.8664854144633728,the dick francis complete treasury of great racing stories,The Dick Francis Complete Treasury of Great Racing Stories,the dick francis treasury of great racing stories,The Dick Francis Treasury of Great Racing Stories
8567,77065,1.0,hot money,Hot Money,hot money,Hot Money
8572,77054,1.0,banker,Banker,banker,Banker
8609,77222,1.0,living the simple life a guide to scaling down and enjoying more,Living the Simple Life: A Guide to Scaling Down and Enjoying More,living the simple life a guide to scaling down and enjoying more,Living the Simple Life: A Guide to Scaling Down and Enjoying More
8627,17766,0.9004553573960254,master and commander aubrey maturin 1,"Master and Commander (Aubrey/Maturin,  #1)",master and commander aubrey maturin book 1,Master and Commander (Aubrey/Maturin Book 1)
8627,93206,0.9004553573960254,master and commander aubrey maturin 1,"Master and Commander (Aubrey/Maturin,  #1)",master and commander aubrey maturin book 1,Master and Commander (Aubrey/Maturin Book 1)
8630,77429,1.0,the ionian mission aubrey maturin 8,"The Ionian Mission (Aubrey/Maturin, #8)",the ionian mission aubrey maturin 8,The Ionian Mission (Aubrey & Maturin #8)
8661,99162,0.9999999999999999,las aventuras de sherlock holmes,Las aventuras de Sherlock Holmes,las aventuras de sherlock holmes,Las aventuras de Sherlock Holmes
8680,95665,1.0,fierce invalids home from hot climates,Fierce Invalids Home from Hot Climates,fierce invalids home from hot climates,Fierce Invalids Home from Hot Climates
8684,8692,0.9129626611428371,baseball prospectus 2006 statistics analysis and insight for the information age,"Baseball Prospectus 2006: Statistics, Analysis, and Insight for the Information Age",baseball prospectus 2004 statistics analysis and insight for the information age,"Baseball Prospectus 2004: Statistics, Analysis and Insight for the Information Age"
8684,8690,0.9056858963117227,baseball prospectus 2006 statistics analysis and insight for the information age,"Baseball Prospectus 2006: Statistics, Analysis, and Insight for the Information Age",baseball prospectus 2005 statistics analysis and insight for the information age,"Baseball Prospectus 2005: Statistics, Analysis, and Insight for the Information Age"
8690,8692,0.8957776989048728,baseball prospectus 2005 statistics analysis and insight for the information age,"Baseball Prospectus 2005: Statistics, Analysis, and Insight for the Information Age",baseball prospectus 2004 statistics analysis and insight for the information age,"Baseball Prospectus 2004: Statistics, Analysis and Insight for the Information Age"
8695,8703,0.9664035601153227,the restaurant at the end of the universe hitchhiker s guide to the galaxy 2,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",the restaurant at the end of the universe the hitchhiker s guide to the galaxy 2,"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)"
8698,55183,0.8813173335126044,so long and thanks for all the fish hitchhiker s guide to the galaxy 4,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",so long and thanks for all the fish hitchhiker s guide 4,"So Long, and Thanks for All the Fish (Hitchhiker's Guide, #4)"
8713,88891,1.0,point to point navigation,Point to Point Navigation,point to point navigation,Point to Point Navigation
8726,89024,0.9999999999999997,comfort me with apples,Comfort Me With Apples,comfort me with apples,Comfort Me With Apples
8726,89025,0.9999999999999997,comfort me with apples,Comfort Me With Apples,comfort me with apples,Comfort Me with Apples
8726,8727,0.9999999999999997,comfort me with apples,Comfort Me With Apples,comfort me with apples,Comfort Me with Apples
