id,name,ratingdist1,pagesnumber,ratingdist4,ratingdisttotal,publishmonth,publishday,publisher,countsofreview,publishyear,language,authors,rating,ratingdist2,ratingdist5,isbn,ratingdist3,__title_norm__,removal_reason
13550,"From Far Away, Vol. 13",1:6,208,4:252,total:975,14,11,VIZ Media,18,2006,eng,Kyoko Hikawa,4.47,2:15,5:605,1421505401,3:97,from far away vol 13,duplicate_title
13551,"From Far Away, Vol. 14",1:7,208,4:247,total:1053,9,1,VIZ Media,36,2007,eng,Kyoko Hikawa,4.5,2:16,5:679,142150541X,3:104,from far away vol 14,duplicate_title
13569,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 3",1:38,196,4:1639,total:5772,26,10,Del Rey,66,2004,eng,CLAMP,4.28,2:177,5:3002,0345471830,3:916,tsubasa reservoir chronicle vol 3,duplicate_title
13570,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 1",1:1179,197,4:10112,total:38698,27,4,Del Rey,400,2004,eng,CLAMP,4.12,2:2097,5:18774,0345470575,3:6536,tsubasa reservoir chronicle vol 1,duplicate_title
13571,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 10",1:16,184,4:884,total:2857,25,7,Del Rey,39,2006,eng,CLAMP,4.29,2:54,5:1447,0345484304,3:456,tsubasa reservoir chronicle vol 10,duplicate_title
13575,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 8",1:25,194,4:986,total:3095,31,1,Del Rey,41,2006,eng,CLAMP,4.27,2:62,5:1529,0345484282,3:493,tsubasa reservoir chronicle vol 8,duplicate_title
13576,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 6",1:18,193,4:1089,total:3490,26,7,Del Rey,47,2005,eng,CLAMP,4.3,2:87,5:1777,0345477936,3:519,tsubasa reservoir chronicle vol 6,duplicate_title
13577,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 04 (Tsubasa: RESERVoir CHRoNiCLE, #4)",1:19,192,4:1298,total:4198,25,1,Del Rey Books,50,2005,eng,CLAMP,4.28,2:88,5:2097,034547791X,3:696,tsubasa reservoir chronicle vol 04 tsubasa reservoir chronicle 4,duplicate_title
13578,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 09",1:25,184,4:961,total:3157,25,4,Del Rey,43,2006,eng,CLAMP,4.28,2:69,5:1606,0345484290,3:496,tsubasa reservoir chronicle vol 09,duplicate_title
13579,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 12",1:12,184,4:829,total:2763,30,1,Del Rey,39,2007,eng,CLAMP,4.31,2:67,5:1439,0345485327,3:416,tsubasa reservoir chronicle vol 12,duplicate_title
13584,ツバサ-RESERVoir CHRoNiCLE- 6,1:18,186,4:1089,total:3490,17,6,講談社,1,2004,jpn,CLAMP,4.3,2:87,5:1777,4063633934,3:519,reservoir chronicle 6,duplicate_title
13585,ツバサ-RESERVoir CHRoNiCLE- 3,1:38,190,4:1639,total:5772,17,12,講談社,1,2003,jpn,CLAMP,4.28,2:177,5:3002,4063633225,3:916,reservoir chronicle 3,duplicate_title
13586,ツバサ-RESERVoir CHRoNiCLE- 7,1:21,188,4:1106,total:3543,17,8,講談社,2,2004,jpn,CLAMP,4.29,2:80,5:1795,4063634167,3:541,reservoir chronicle 7,duplicate_title
13587,ツバサ-RESERVoir CHRoNiCLE- 8,1:25,187,4:986,total:3095,17,11,講談社,0,2004,jpn,CLAMP,4.27,2:62,5:1529,4063634523,3:493,reservoir chronicle 8,duplicate_title
13605,"Hikaru No Go, Volume 5",1:5,208,4:429,total:1303,1,10,Turtleback Books,0,2005,,Yumi Hotta,4.25,2:21,5:618,1417734523,3:230,hikaru no go volume 5,duplicate_title
13616,"Death Note, Vol. 4: Love (Death Note, #4)",1:94,204,4:7321,total:23480,7,3,VIZ Media LLC,700,2006,eng,Tsugumi Ohba,4.39,2:411,5:12981,142150331X,3:2673,death note vol 4 love death note 4,duplicate_title
13640,"Hana Yori Dango 2 (Boys Over Flowers, #2)",1:21,171,4:516,total:1813,14,5,Glénat,0,2003,fre,Yōko Kamio,4.12,2:96,5:827,2723442306,3:353,hana yori dango 2 boys over flowers 2,duplicate_title
13703,"School Rumble, Vol. 3 (School Rumble, #3)",1:3,174,4:113,total:334,29,8,Del Rey,10,2006,,Jin Kobayashi,4.04,2:11,5:126,0345491491,3:81,school rumble vol 3 school rumble 3,duplicate_title
13704,"School Rumble, Vol. 5  (School Rumble, #5)",1:3,182,4:73,total:262,27,3,Del Rey,8,2007,,Jin Kobayashi,4.05,2:13,5:110,0345491513,3:63,school rumble vol 5 school rumble 5,duplicate_title
13705,"School Rumble, Vol. 6 (School Rumble, #6)",1:1,175,4:77,total:232,10,7,Del Rey,9,2007,,Jin Kobayashi,4.07,2:12,5:93,0345491521,3:49,school rumble vol 6 school rumble 6,duplicate_title
13718,"Cromartie High School, Vol. 04",1:0,168,4:33,total:83,1,10,ADV Manga,1,2005,,Eiji Nonaka,4.17,2:2,5:33,141390260X,3:15,cromartie high school vol 04,duplicate_title
13719,"Cromartie High School, Vol. 06",1:0,176,4:29,total:63,6,6,ADV Manga,4,2006,eng,Eiji Nonaka,4.21,2:1,5:24,1413902626,3:9,cromartie high school vol 06,duplicate_title
13720,"Cromartie High School, Vol. 05",1:0,168,4:30,total:65,21,3,ADV Manga,2,2006,eng,Eiji Nonaka,4.28,2:1,5:27,1413902618,3:7,cromartie high school vol 05,duplicate_title
13721,"Cromartie High School, Vol. 07",1:0,176,4:19,total:52,8,8,ADV Manga,1,2006,,Eiji Nonaka,4.15,2:1,5:21,1413902634,3:11,cromartie high school vol 07,duplicate_title
13722,"Cromartie High School, Vol. 01",1:9,158,4:134,total:407,1,3,ADV Manga,41,2005,eng,Eiji Nonaka,4.0,2:27,5:158,141390257X,3:79,cromartie high school vol 01,duplicate_title
13724,"Cromartie High School, Vol. 02",1:0,161,4:54,total:139,14,6,ADV Manga,9,2005,eng,Eiji Nonaka,4.19,2:7,5:59,1413902588,3:19,cromartie high school vol 02,duplicate_title
13725,"Cromartie High School, Vol. 09",1:1,176,4:13,total:42,9,1,ADV Manga,2,2007,,Eiji Nonaka,4.07,2:0,5:17,1413903576,3:11,cromartie high school vol 09,duplicate_title
13727,"Bleach, Volume 16",1:29,208,4:1703,total:5993,5,12,VIZ Media LLC,76,2006,eng,Tite Kubo,4.34,2:127,5:3255,1421506149,3:879,bleach volume 16,duplicate_title
13728,"Bleach, Volume 13",1:41,208,4:1879,total:6580,6,6,VIZ Media LLC,85,2006,eng,Tite Kubo,4.35,2:145,5:3631,1421506114,3:884,bleach volume 13,duplicate_title
13729,"Bleach, Volume 10",1:60,208,4:2078,total:7348,6,12,VIZ Media LLC,82,2005,eng,Tite Kubo,4.28,2:197,5:3825,1421500817,3:1188,bleach volume 10,duplicate_title
13730,"Bleach, Volume 18",1:92,216,4:2101,total:8039,3,6,VIZ Media LLC,71,2008,eng,Tite Kubo,4.33,2:211,5:4511,1421510421,3:1124,bleach volume 18,duplicate_title
13731,"Bleach, Volume 17",1:34,224,4:1790,total:6442,6,6,VIZ Media LLC,61,2008,eng,Tite Kubo,4.35,2:124,5:3562,1421510413,3:932,bleach volume 17,duplicate_title
13733,"Bleach, Volume 19",1:55,216,4:1648,total:6118,5,6,VIZ Media LLC,81,2007,eng,Tite Kubo,4.36,2:133,5:3462,142151043X,3:820,bleach volume 19,duplicate_title
13784,"Tramps Like Us, Volume 9",1:4,185,4:211,total:614,1,6,TokyoPop,12,2006,en-GB,Yayoi Ogawa,4.32,2:15,5:310,1595324399,3:74,tramps like us volume 9,duplicate_title
13785,"Tramps Like Us, Volume 11",1:5,182,4:188,total:543,1,2,TokyoPop,12,2007,eng,Yayoi Ogawa,4.28,2:12,5:265,1598161989,3:73,tramps like us volume 11,duplicate_title
13786,"Tramps Like Us, Volume 12",1:3,179,4:191,total:562,1,6,TokyoPop,10,2007,en-US,Yayoi Ogawa,4.37,2:11,5:297,1598161997,3:60,tramps like us volume 12,duplicate_title
13845,More Milly-Molly-Mandy (Milly-Molly-Mandy),1:27,224,4:288,total:930,1,9,Kingfisher,17,1999,eng,Joyce Lankester Brisley,4.12,2:32,5:420,0753453347,3:163,more milly molly mandy milly molly mandy,duplicate_title
13856,"Witches Abroad (Discworld, #12)",1:331,368,4:25540,total:69116,1,8,Corgi,32,2005,en-GB,Terry Pratchett,4.22,2:1468,5:30578,055215296X,3:11199,witches abroad discworld 12,duplicate_title
14044,Lulu's Provencal Table: The Exuberant Food and Wine from Domaine Tempier Vineyard,1:0,364,4:27,total:56,1,5,HarperCollins Publishers,0,1994,,Richard Olney,4.21,2:1,5:21,0060169222,3:7,lulu s provencal table the exuberant food and wine from domaine tempier vineyard,duplicate_title
14115,"Beauty is the Beast, Vol. 4",1:7,208,4:118,total:342,1,8,VIZ Media LLC,11,2006,eng,Tomo Matsumoto,3.8,2:17,5:94,1421503549,3:106,beauty is the beast vol 4,duplicate_title
14336,Stranger In A Strange Land,1:11620,672,4:81319,total:266899,14,3,Hodder & Stoughton,48,2005,eng,Robert A. Heinlein,3.92,2:18862,5:102871,0340837950,3:52227,stranger in a strange land,duplicate_title
14359,"A Ring of Endless Light (Austin Family, Book 4)",1:168,336,4:6039,total:18103,15,7,Dell,30,1981,,Madeleine L'Engle,4.15,2:624,5:7901,0440972329,3:3371,a ring of endless light austin family book 4,duplicate_title
14375,A Reading Guide to Island of the Blue Dolphins,1:2,64,4:5,total:27,1,7,Scholastic Reference,0,2003,eng,Patricia McHugh,3.89,2:3,5:13,0439463696,3:4,a reading guide to island of the blue dolphins,duplicate_title
14474,Amelia Bedelia,1:1540,63,4:21641,total:81652,6,2,Lectorum Publications,0,2008,spa,Peggy Parish,4.17,2:3440,5:40016,1880507765,3:15015,amelia bedelia,duplicate_title
14476,Amelia Bedelia and the Baby (Amelia Bedelia),1:43,64,4:715,total:2844,1,3,Turtleback Books Distributed by Demco Media,0,2004,eng,Peggy Parish,4.17,2:106,5:1399,0606300945,3:581,amelia bedelia and the baby amelia bedelia,duplicate_title
14480,"Calling Doctor Amelia Bedelia (Amelia Bedelia, #16)",1:192,64,4:3048,total:13377,7,9,Greenwillow Books,45,2004,,Herman Parish,4.3,2:431,5:7553,0060087803,3:2153,calling doctor amelia bedelia amelia bedelia 16,duplicate_title
14481,"Come Back, Amelia Bedelia (Amelia Bedelia, #4)",1:221,64,4:3949,total:16003,18,8,HarperCollins,114,1995,,Peggy Parish,4.27,2:486,5:8625,0060266880,3:2722,come back amelia bedelia amelia bedelia 4,duplicate_title
14506,El Perfume: Historia De Un Asesino,1:7337,256,4:105983,total:301022,1,12,Booket,10,2002,,Patrick Süskind,4.02,2:16742,5:116780,9504910122,3:54180,el perfume historia de un asesino,duplicate_title
14573,Wisdom from Peace Is Every Step: The Path of Mindfulness in Everyday Life,1:0,96,4:62,total:222,15,6,Peter Pauper Press,17,2005,,Thich Nhat Hanh,4.55,2:2,5:142,1593599072,3:16,wisdom from peace is every step the path of mindfulness in everyday life,duplicate_title
14582,The History of Rock and Roll,1:0,175,4:10,total:24,1,9,Franklin Watts,3,1997,,David Shirley,3.92,2:2,5:7,0531158462,3:5,the history of rock and roll,duplicate_title
14768,Los diarios de Nanny,1:17887,392,4:104766,total:353355,1,1,Santillana USA Publishing Company,4,2003,spa,Emma McLaughlin,3.43,2:44778,5:63014,8420465607,3:122910,los diarios de nanny,duplicate_title
14854,The Last Man Standing,1:0,142,4:2,total:3,1,1,Fiction Collective 2,1,1990,,George Chambers,4.33,2:0,5:1,0932511201,3:0,the last man standing,duplicate_title
14859,Last man standing,1:554,821,4:18418,total:45331,1,1,Warner Books,4,2001,,David Baldacci,4.04,2:1513,5:15760,0739421336,3:9086,last man standing,duplicate_title
14956,The Biography of Alice B. Toklas,1:0,427,4:12,total:36,1,10,Bison Books,4,1991,,Linda Simon,3.67,2:2,5:7,0803292031,3:15,the biography of alice b toklas,duplicate_title
15018,"Conversations With God: An Uncommon Dialogue, Book 3",1:384,392,4:3992,total:15590,3,12,Hampton Roads Publishing Company,181,2005,eng,Neale Donald Walsch,4.21,2:654,5:8149,1571741038,3:2411,conversations with god an uncommon dialogue book 3,duplicate_title
15019,"Conversations With God: An Uncommon Dialogue, Book 2",1:587,263,4:6411,total:22800,3,12,Hampton Roads Publishing Company,225,2005,eng,Neale Donald Walsch,4.13,2:1096,5:10786,1571740562,3:3920,conversations with god an uncommon dialogue book 2,duplicate_title
15237,The Art of The Lord of the Rings,1:20,224,4:233,total:1123,15,11,Houghton Mifflin Harcourt,11,2004,,Gary Russell,4.52,2:22,5:770,0618510982,3:78,the art of the lord of the rings,duplicate_title
15247,The Lord of the Rings,1:5773,9,4:126663,total:539613,24,8,Highbridge Company,1,2001,,J.R.R. Tolkien,4.5,2:11143,5:352321,1565115503,3:43713,the lord of the rings,duplicate_title
15379,Black Veil: A Memoir with Digressions,1:45,336,4:119,total:461,6,5,Little Brown and Company,38,2002,eng,Rick Moody,3.08,2:92,5:49,0316578991,3:156,black veil a memoir with digressions,duplicate_title
15529,II Maccabees,1:0,595,4:10,total:26,11,10,Anchor Bible,3,1983,eng,Anonymous,4.04,2:3,5:10,0385048645,3:3,ii maccabees,duplicate_title
15578,The Elfstones of Shannara (The Original Shannara Trilogy #2),1:1046,564,4:22989,total:63246,10,10,Del Rey Books,154,2000,eng,Terry Brooks,3.97,2:3453,5:21860,0345285549,3:13898,the elfstones of shannara the original shannara trilogy 2,duplicate_title
15606,McSweeney's #24,1:3,300,4:138,total:304,28,5,McSweeney's,31,2007,eng,Dave Eggers,3.8,2:10,5:61,1932416773,3:92,mcsweeney s 24,duplicate_title
15617,The Outsider,1:28,672,4:695,total:2004,29,7,Harpperen,77,2003,en-US,Richard Wright,4.16,2:72,5:878,0060539259,3:331,the outsider,duplicate_title
15628,The Correspondence of Boris Pasternak and Olga Friedenberg: 1910-1954,1:0,444,4:6,total:15,1,6,Mariner Books,0,1983,,Boris Pasternak,4.07,2:0,5:5,0156225972,3:4,the correspondence of boris pasternak and olga friedenberg 1910 1954,duplicate_title
15721,Voices of a People's History of the United States,1:29,672,4:570,total:1857,5,10,Seven Stories Press,61,2004,,Howard Zinn,4.33,2:52,5:1005,1583226478,3:201,voices of a people s history of the united states,duplicate_title
15785,More Sideways Arithmetic from Wayside School (Wayside School #2.75),1:25,112,4:289,total:984,1,9,Bloomsbury U.S.A. Children's Books,29,1994,eng,Louis Sachar,3.92,2:66,5:368,0747569134,3:236,more sideways arithmetic from wayside school wayside school 2 75,duplicate_title
15820,"My War Gone by, I Miss It So",1:16,336,4:601,total:1769,7,11,Bantam Press,2,2000,en-GB,Anthony Loyd,4.29,2:60,5:885,0552771333,3:207,my war gone by i miss it so,duplicate_title
15852,Relativity: The Special and the General Theory,1:268,130,4:5371,total:17118,25,7,Penguin Classics,350,2006,eng,Albert Einstein,4.19,2:659,5:8069,0143039822,3:2751,relativity the special and the general theory,duplicate_title
15866,A State of Fear,1:0,272,4:0,total:0,2,3,Ivy Books,0,1991,,Mary Napier,0.0,2:0,5:0,0804106134,3:0,a state of fear,duplicate_title
15931,"The Notebook (The Notebook, #1)",1:45879,214,4:348230,total:1271071,5,7,Bantam,15292,2004,eng,Nicholas Sparks,4.1,2:70989,5:605006,0553816713,3:200967,the notebook the notebook 1,duplicate_title
15932,Three Weeks with My Brother,1:767,10,4:13094,total:39513,13,4,Hachette Audio,36,2004,,Nicholas Sparks,4.03,2:2130,5:15580,1586216430,3:7942,three weeks with my brother,duplicate_title
16064,Dive From Clausen's Pier,1:840,384,4:7155,total:21277,9,4,Knopf,4,2002,,Ann Packer,3.42,2:2546,5:3027,1400040329,3:7709,dive from clausen s pier,duplicate_title
16113,"A Dance to the Music of Time: 1st Movement (A Dance to the Music of Time, #1-3)",1:154,718,4:1323,total:4103,31,5,University of Chicago Press,277,1995,eng,Anthony Powell,3.95,2:280,5:1585,0226677141,3:761,a dance to the music of time 1st movement a dance to the music of time 1 3,duplicate_title
16114,"A Dance to the Music of Time: 3rd Movement (A Dance to the Music of Time, #7-9)",1:20,715,4:449,total:1416,31,5,University of Chicago Press,83,1995,eng,Anthony Powell,4.26,2:46,5:710,0226677176,3:191,a dance to the music of time 3rd movement a dance to the music of time 7 9,duplicate_title
16115,"A Dance to the Music of Time: 2nd Movement (A Dance to the Music of Time, #4-6)",1:14,722,4:448,total:1366,15,6,University of Chicago Press,87,1995,eng,Anthony Powell,4.3,2:37,5:693,0226677168,3:174,a dance to the music of time 2nd movement a dance to the music of time 4 6,duplicate_title
16129,The Guide to the Art of Rockefeller Center,1:0,160,4:3,total:5,17,5,W. W. Norton  Company,2,2006,,Christine Roussel,4.4,2:0,5:2,0393328651,3:0,the guide to the art of rockefeller center,duplicate_title
16268,"Back to Barbary Lane: The Tales of the City Omnibus (Tales of the City, #4-6)",1:1,720,4:188,total:644,26,11,Harper,11,1991,eng,Armistead Maupin,4.44,2:9,5:376,0060166495,3:70,back to barbary lane the tales of the city omnibus tales of the city 4 6,duplicate_title
16345,Agatha Christie A to Z: The Essential Reference to Her Life and Writings,1:0,400,4:6,total:18,1,9,Facts on File,1,1996,,Dawn B. Sova,3.89,2:2,5:6,0816030189,3:4,agatha christie a to z the essential reference to her life and writings,duplicate_title
16398,"Thank You, Jeeves",1:71,6,4:5434,total:13669,26,5,AudioGO,23,2005,eng,P.G. Wodehouse,4.24,2:266,5:5962,1572704616,3:1936,thank you jeeves,duplicate_title
16551,The Letters of J. R. R. Tolkien,1:94,463,4:1715,total:5351,1,5,,16,1981,eng,J.R.R. Tolkien,4.15,2:202,5:2421,0395315557,3:919,the letters of j r r tolkien,duplicate_title
16562,Ines of My Soul,1:283,528,4:8300,total:21227,7,11,Harper,13,2006,eng,Isabel Allende,3.93,2:1117,5:6560,0061161578,3:4967,ines of my soul,duplicate_title
16701,The Amazing Adventures of the Escapist: Volume 2,1:2,152,4:120,total:353,7,12,Dark Horse Books,22,2004,,Brian K. Vaughan,3.52,2:23,5:45,1593071728,3:163,the amazing adventures of the escapist volume 2,duplicate_title
16704,The Amazing Adventures of the Escapist: Volume 3,1:2,167,4:64,total:186,9,5,Dark Horse Comics,10,2006,,Michael Chabon,3.67,2:9,5:37,1593074921,3:74,the amazing adventures of the escapist volume 3,duplicate_title
16807,The Major Works,1:7,1008,4:101,total:356,3,4,Oxford University Press,12,2003,eng,John Milton,4.25,2:10,5:184,019280409X,3:54,the major works,duplicate_title
16831,"Christopher Isherwood,",1:0,48,4:0,total:0,31,12,Columbia University Press,0,1970,,Carolyn G. Heilbrun,0.0,2:0,5:0,0231032579,3:0,christopher isherwood,duplicate_title
16854,Baseball: An Encyclopedia of Popular Culture,1:0,371,4:0,total:2,1,3,Bison Books,0,2005,,Edward J. Rielly,5.0,2:0,5:2,0803290055,3:0,baseball an encyclopedia of popular culture,duplicate_title
16972,Lutzen 1632: Climax of the Thirty Years War,1:0,96,4:6,total:18,30,9,Praeger Publishers,0,2005,,Richard Brzezinski,3.56,2:0,5:2,0275988554,3:10,lutzen 1632 climax of the thirty years war,duplicate_title
16995,"Fantastic Four, Volume 3",1:0,256,4:103,total:222,23,11,Marvel Comics Group,6,2005,eng,Mark Waid,3.96,2:8,5:59,0785120114,3:52,fantastic four volume 3,duplicate_title
17037,Flatlands,1:0,144,4:3,total:7,25,11,iUniverse,0,2003,,Susan Sims Moody,4.57,2:0,5:4,0595661610,3:0,flatlands,duplicate_title
17040,American Government: Continuity and Change,1:3,792,4:5,total:23,4,3,Longman Publishing Group,0,2005,eng,Karen  O'Connor,2.83,2:5,5:1,0321209184,3:9,american government continuity and change,duplicate_title
17043,Essentials of American Government: Continuity and Change,1:1,604,4:2,total:8,1,4,Longman Publishing Group,0,2005,eng,Karen  O'Connor,3.5,2:0,5:2,032127623X,3:3,essentials of american government continuity and change,duplicate_title
17059,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)",1:28644,271,4:396416,total:1350415,19,10,Crown Publishing Group (NY),18,2004,eng,Douglas Adams,4.22,2:54174,5:682889,1400052939,3:188292,the hitchhiker s guide to the galaxy hitchhiker s guide 1,duplicate_title
17123,Handmaid's Tale,1:30214,324,4:477371,total:1343334,14,4,Virago Press Ltd,35,1994,eng,Margaret Atwood,4.11,2:59528,5:565186,0860688666,3:211035,handmaid s tale,duplicate_title
17146,Go Tell It on the Mountain,1:0,32,4:0,total:1,1,7,Augsburg Books,0,2003,,Debbie Trafton O'Neal,5.0,2:0,5:1,0806645598,3:0,go tell it on the mountain,duplicate_title
17152,My Antonia (Great Plains trilogy #3),1:3956,314,4:41399,total:116511,4,3,Pocket Books,508,2009,eng,Willa Cather,3.79,2:9282,5:33942,0743487699,3:27932,my antonia great plains trilogy 3,duplicate_title
17198,Strangers in a Strange Land,1:0,64,4:0,total:2,1,12,Squadron/Signal Publications,0,1992,,Publications Squadronnsignal,3.0,2:0,5:0,0897472780,3:2,strangers in a strange land,duplicate_title
17277,The Feynman Lectures on Physics Vols 7-8,1:0,0,4:2,total:20,3,1,Basic Books,0,2006,en-US,Richard P. Feynman,4.8,2:0,5:17,0738209279,3:1,the feynman lectures on physics vols 7 8,duplicate_title
17279,The Feynman Lectures on Physics Vols 5-6,1:0,12,4:5,total:22,3,11,Basic Books,0,2004,en-US,Richard P. Feynman,4.59,2:0,5:15,0738202835,3:2,the feynman lectures on physics vols 5 6,duplicate_title
17280,The Feynman Lectures on Physics Vol 3,1:4,384,4:164,total:884,1,9,Addison Wesley Publishing Company,15,2005,eng,Richard P. Feynman,4.63,2:13,5:649,0805390499,3:54,the feynman lectures on physics vol 3,duplicate_title
17422,Student Solutions Manual to Accompany Calculus: Single Variable,1:0,234,4:0,total:1,25,11,John Wiley & Sons,0,2004,,Deborah Hughes-Hallett,2.0,2:1,5:0,0471659975,3:0,student solutions manual to accompany calculus single variable,duplicate_title
17426,Introduction to Linear Algebra and Differential Equations,1:0,404,4:3,total:20,1,12,Dover Publications,0,1986,eng,John W. Dettman,3.5,2:3,5:5,0486651916,3:9,introduction to linear algebra and differential equations,duplicate_title
17427,Differential Equations & Linear Algebra,1:1,705,4:8,total:20,1,12,Prentice Hall,0,2006,,Jerry Farlow,3.3,2:4,5:2,0131860615,3:5,differential equations linear algebra,duplicate_title
17428,Linear Algebra and Differential Equations Using MATLAB,1:1,704,4:1,total:3,18,1,Cengage Learning,0,1999,,Martin Golubitsky,2.33,2:1,5:0,0534354254,3:0,linear algebra and differential equations using matlab,duplicate_title
17431,Linear Algebra and Ordinary Differential Equations,1:0,1136,4:0,total:1,3,3,CRC Press,0,1991,,Alan Jeffrey,5.0,2:0,5:1,0865421145,3:0,linear algebra and ordinary differential equations,duplicate_title
17435,Physics for Scientists and Engineers,1:6,976,4:37,total:117,20,1,Prentice Hall,10,2000,en-US,Douglas C. Giancoli,4.02,2:8,5:51,0132431068,3:15,physics for scientists and engineers,duplicate_title
17437,Physics: for Scientists and Engineers with Modern Physics,1:0,1440,4:5,total:9,9,6,Benjamin-Cummings Publishing Company,1,2004,eng,Paul M. Fishbane,3.78,2:2,5:2,0130352993,3:0,physics for scientists and engineers with modern physics,duplicate_title
17438,Physics for Scientists and Engineers with Modern Physics: Volume 1,1:2,558,4:2,total:16,1,12,Benjamin-Cummings Publishing Company,0,2006,,Douglas C. Giancoli,3.38,2:0,5:4,0132273586,3:8,physics for scientists and engineers with modern physics volume 1,duplicate_title
17439,Modern Physics for Scientists and Engineers,1:1,604,4:16,total:44,25,3,Brooks Cole,1,2005,,Stephen T. Thornton,3.84,2:3,5:13,0534417817,3:11,modern physics for scientists and engineers,duplicate_title
17443,"Physics for Scientists and Engineers, Volume II",1:6,928,4:27,total:102,1,11,Brooks Cole,9,1999,,Raymond A. Serway,3.91,2:6,5:42,0030209692,3:21,physics for scientists and engineers volume ii,duplicate_title
17446,"Physics for Scientists and Engineers, with Modern Physics",1:3,1552,4:47,total:137,1,1,Thomson Brooks/Cole,0,2004,,Raymond A. Serway,3.83,2:13,5:43,0534409490,3:31,physics for scientists and engineers with modern physics,duplicate_title
17453,"Physics for Scientists and Engineers, Volume 1",1:2,640,4:3,total:25,5,1,Thomson Brooks/Cole,0,2007,,Raymond A. Serway,3.44,2:4,5:8,0495385530,3:8,physics for scientists and engineers volume 1,duplicate_title
17503,The Circus of Adventure,1:22,192,4:798,total:2410,22,8,Pan,0,1975,eng,Enid Blyton,4.12,2:88,5:1011,0330244779,3:491,the circus of adventure,duplicate_title
17537,Rose In Bloom,1:440,459,4:7023,total:21411,1,2,Thorndike Press,0,2005,,Louisa May Alcott,4.04,2:994,5:8520,0786272945,3:4434,rose in bloom,duplicate_title
17568,A Girl of the Limberlost,1:277,336,4:5941,total:18201,5,11,Norilana Books,18,2006,,Gene Stratton-Porter,4.15,2:717,5:8119,1934169307,3:3147,a girl of the limberlost,duplicate_title
17570,A Girl of The Limberlost,1:277,500,4:5941,total:18201,1,4,Kessinger Publishing,3,2005,,Gene Stratton-Porter,4.15,2:717,5:8119,0766194248,3:3147,a girl of the limberlost,duplicate_title
17581,Pioneer Girl: The Story of Laura Ingalls Wilder,1:2,32,4:140,total:464,2,2,HarperCollins,37,2000,eng,William   Anderson,4.14,2:11,5:203,006446234X,3:108,pioneer girl the story of laura ingalls wilder,duplicate_title
17681,Friendship: An Expose,1:12,288,4:70,total:212,3,7,Mariner Books,30,2007,,Joseph Epstein,3.28,2:32,5:23,0618872159,3:75,friendship an expose,duplicate_title
17722,Alice's Adventures in Wonderland & Through the Looking-Glass,1:6285,234,4:149005,total:440415,1,5,Bantam Classics,102,1984,eng,Lewis Carroll,4.07,2:20169,5:176553,0553213458,3:88403,alice s adventures in wonderland through the looking glass,duplicate_title
17730,House of Mirth,1:1976,324,4:28762,total:79308,30,7,Waking Lion Press,11,2008,eng,Edith Wharton,3.95,2:4537,5:27698,1600962203,3:16335,house of mirth,duplicate_title
17766,Master and Commander (Aubrey/Maturin Book 1),1:692,0,4:14833,total:43231,9,3,Random House Audio,0,2004,eng,Patrick O'Brian,4.1,2:2060,5:18128,073931565X,3:7518,master and commander aubrey maturin book 1,duplicate_title
17974,Eternal Frontier,1:1,729,4:34,total:81,24,2,Baen Books,3,2004,,James H. Schmitz,3.96,2:2,5:24,0743471903,3:20,eternal frontier,duplicate_title
17983,"The Reverse of the Medal (Aubrey/Maturin, #11)",1:12,0,4:2999,total:8179,1,2,Blackstone Audiobooks,92,2006,en-GB,Patrick O'Brian,4.41,2:67,5:4330,0786178183,3:771,the reverse of the medal aubrey maturin 11,duplicate_title
17997,"The Code Book: How to Make It, Break It, Hack It, Crack It",1:167,263,4:7735,total:20311,12,8,Ember,5,2003,,Simon Singh,4.29,2:405,5:9651,0385730624,3:2353,the code book how to make it break it hack it crack it,duplicate_title
18004,The Drawing of the Three (The Dark Tower #2),1:1471,463,4:77166,total:204715,3,1,Signet,85,1990,eng,Stephen King,4.23,2:5488,5:91407,,3:29183,the drawing of the three the dark tower 2,duplicate_title
18022,"Jeeves and the Mating Season (Jeeves, #9)",1:21,7,4:2299,total:5647,7,4,AudioGO,22,2003,eng,P.G. Wodehouse,4.26,2:67,5:2474,1572703199,3:786,jeeves and the mating season jeeves 9,duplicate_title
18072,The Waste Lands (The Dark Tower #3),1:1116,590,4:66124,total:174958,1,1,Signet Book,96,1993,eng,Stephen King,4.24,2:4011,5:78837,0451173317,3:24870,the waste lands the dark tower 3,duplicate_title
18074,"Jeeves and The Feudal Spirit (Jeeves, #11)",1:13,240,4:2442,total:5943,20,9,Everyman's Library,1,2001,eng,P.G. Wodehouse,4.32,2:48,5:2749,1841591017,3:691,jeeves and the feudal spirit jeeves 11,duplicate_title
